symbol,bid,ask,mid,spread_bps,top_depth_usd,slip1k_bps,slip10k_bps,slip50k_bps
PURR,0.071548,0.071772,0.07166,31.25872174155763,19.961892,22.63139632992433,,
PNUT,0.04175,0.04178,0.041765,7.183048006703055,1275.969556,3.5915240033523586,13.601540275740394,
XLM,0.18636,0.18639,0.186375,1.6096579476862372,500.00388,1.0730528330637608,1.791008706643387,4.60408305086242
SAND,0.048024,0.048042,0.048033,3.747423646244066,476.528598,2.003144760039938,12.952133291417342,
IOTA,0.035873,0.035905,0.035889,8.916381063834965,796.129489,4.458190531916515,14.473844561243425,
ALGO,0.082664,0.082692,0.082678,3.386632477805492,198.558928,2.994954350270355,9.845221891903844,
HYPE,59.888,59.889,59.8885,0.1669769655284027,11244.75864,0.0834884827642013,0.0834884827642013,1.550830269526593
ME,0.06451,0.06454,0.064525,4.649360712902324,499.997657,2.324680356451162,23.190563446890337,
MOVE,0.010691,0.010697,0.010694,5.610622779127606,471.256335,3.638269149103024,15.054706873416134,
VIRTUAL,0.63509,0.63543,0.63526,5.352139281554119,289.537531,2.6760696407770594,5.495827516453993,
PENGU,0.005971,0.005972,0.0059714999999999,1.6746211169725074,484.576505,0.83731055848698,3.650286221989999,8.41240933286819
USUAL,0.0092,0.00921,0.009205,10.86366105377468,2.25676,5.431830526887341,32.90452422426162,
FARTCOIN,0.13425,0.13428,0.134265,2.2343872193052725,199.857975,1.4933988410427534,6.003346108542083,10.771975812006794
AIXBT,0.018619,0.018629,0.018624,5.369415807559918,459.372511,2.974986124352242,10.308093725471322,
BIO,0.02596,0.025972,0.025966,4.621428021257846,499.9896,3.1880474615050205,8.279432722288417,
GRIFFAIN,0.00822,0.008225,0.0082225,6.080875646092789,317.30405,4.692566827761143,26.335143349141763,
SPX,0.35502,0.35507,0.355045,1.4082721908488922,407.598462,0.8179368053425136,5.69254922224359,
S,0.025172,0.025181,0.0251764999999999,3.5747621790155875,484.082732,1.9859774536089057,10.305959187552956,
MORPHO,1.9736,1.9739,1.97375,1.5199493350219986,563.54845,1.2022055782555867,5.772491115415007,
TRUMP,1.5458,1.546,1.5459,1.2937447441618342,303.13138,1.6171325941188983,3.200981930293225,6.635633234275927
MELANIA,0.07729,0.07735,0.07732,7.759958613554642,499.996739,4.672974397766012,14.311877470115965,
ANIME,0.002677,0.00268,0.0026785,11.20029867463119,1001.350589,5.600149337314785,18.060695252242752,
VINE,0.008752,0.00876,0.008756,9.13659205116613,599.6044800000001,6.27342699158632,45.36092800236001,
VVV,11.284,11.292,11.288,7.087172218284124,363.00628000000006,4.301443212443794,15.14733596681357,
BERA,0.18777,0.18781,0.18779,2.130038873210088,480.109113,1.2310640462578952,6.973153145984403,
LAYER,0.063851,0.063924,0.0638875,11.42633535511481,500.0171810000001,5.74236974775262,23.13774360628891,
KAITO,0.85813,0.85928,0.858705,13.392259274140658,500.10096,6.870772958786116,16.82482547029877,
NIL,0.034845,0.034861,0.034853,4.59070955154567,189.399813,4.522927444453177,12.898374158810787,
PAXG,4006.0,4006.1,4006.05,0.2496224460501218,873.308,0.1534302782661621,0.4104473479681771,0.5813336316691206
BABY,0.012892,0.012904,0.012898,9.30376802605044,420.915576,7.34519046944283,17.685973741770738,
WCT,0.042797,0.042824,0.0428105,6.306863970287488,499.997351,3.308243790834112,23.950531846981097,
HYPER,0.069554,0.069627,0.0695905,10.489937563315358,499.991487,5.370657530770136,16.28303365824804,
ZORA,0.006703,0.006709,0.006706,8.947211452430553,461.277295,5.334618465878158,16.935594775254938,
INIT,0.053079,0.053143,0.053111,12.05023441471664,500.00418,6.119254544022047,22.410496158454016,
