n,mean,median,stdev,share_losers,share_ge_5pct,p10,p90,max,min,split,horizon,group,first_trigger_only
1775,0.009567718053889793,0.009771986970684043,0.09214407947171015,0.4326760563380282,0.2608450704225352,-0.08448632177579336,0.10475942046552619,0.6095238095238094,-0.6295103092783505,dev,5,A_all,False
3833,0.015662027001298873,0.010739676297080614,0.08484398255032845,0.40751369684320377,0.24628228541612315,-0.06863999348038768,0.0979423008570249,1.1248303934871098,-0.3425641025641025,dev,5,B_quiet,False
996,0.0684529314042122,0.051757080166391356,0.189983025491333,0.3413654618473896,0.5040160642570282,-0.14163305254658765,0.29309003512171716,1.1631408423861256,-0.552021563342318,dev,20,A_positive,False
779,0.038302677964611884,0.01783634245777521,0.18655522955249013,0.44030808729139925,0.42105263157894735,-0.15268428418754143,0.23572856167940234,1.3008695652173912,-0.5818965517241379,dev,20,A_negative,False
1775,0.05522079200733973,0.03848512726157627,0.189026848199822,0.3847887323943662,0.4676056338028169,-0.1463505486761301,0.26955546178982415,1.3008695652173912,-0.5818965517241379,dev,20,A_all,False
3833,0.06015373839337712,0.03446752098983663,0.1974043039174012,0.3863814244716932,0.4591703626402296,-0.13147963529646686,0.27691516945229605,1.8151382823871907,-0.562857142857143,dev,20,B_quiet,False
996,0.21927703375994834,0.12971624349804178,0.4442755117769355,0.2751004016064257,0.6405622489959839,-0.18764881927422733,0.6778443145861918,4.130248500428449,-0.7505727376861397,dev,60,A_positive,False
779,0.20855252893486037,0.13295526149968495,0.3999843799874097,0.2926829268292683,0.6405648267008985,-0.14544170429490014,0.6163772370375612,5.015940727436012,-0.5893854748603352,dev,60,A_negative,False
1775,0.2145703355860083,0.1312594295567211,0.42532193530377044,0.2828169014084507,0.6405633802816901,-0.16582669908746722,0.6476146979454093,5.015940727436012,-0.7505727376861397,dev,60,A_all,False
3833,0.22026927409962943,0.1173215273934698,0.46882916383440787,0.2882859379076441,0.6230106965823115,-0.15301757330539106,0.707192761086292,5.350381336922387,-0.6082817705854355,dev,60,B_quiet,False
