symbol,type,n_snapshots,first_snapshot,vol24h_median_30d,vol24h_p10_30d,vol24h_median_90d,days_vol_below_1m_30d,oi_usd_median_30d,impact_half_spread_bps_snapshot,fixture_vol24h,price_obs_total,price_obs_insession,insession_days,first_price_obs,max_leverage,sz_decimals,growth_mode,only_isolated,oi_cap,last_mid,est_cost_bps_per_side_150usd,min_order_units_ok,eligible,selected
xyz:URNM,etf,139,2026-05-01,222354.58000000002,47884.414000000004,165790.5,29,1664101.3573499997,34.67015456035929,489921.5824800002,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,49.1315,36.57015456035929,True,False,False
xyz:EWT,etf,129,2026-05-17,216466.86,71443.635,212353.475,29,776018.0332000001,5.124043589148509,701472.5373999997,11294,2162,86,2026-05-17,20,2,enabled,True,25000000.0,112.45,7.024043589148509,True,False,False
xyz:NET,stock,42,2026-08-14,169718.305,30050.167000000005,126196.775,30,289344.325,37.458816027208485,183518.8515000001,3994,771,30,2026-08-14,10,2,enabled,True,25000000.0,360.41,39.35881602720848,True,False,False
xyz:GEV,stock,66,2026-07-21,151013.97,17551.714,62912.06999999999,30,575492.72097,18.718224372326784,228587.26575,6308,1220,48,2026-07-21,10,3,enabled,True,25000000.0,939.825,20.618224372326782,True,False,False
xyz:RDDT,stock,42,2026-08-14,150684.615,40971.234000000004,120157.625,29,291099.97119999997,19.060514529736714,527542.9454,3994,771,30,2026-08-14,10,2,enabled,True,25000000.0,152.665,20.960514529736713,True,False,False
xyz:RIVN,stock,139,2026-05-01,145631.135,26131.845,224660.37,30,517513.35192000004,23.664989449764853,148597.70816,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,15.0355,25.56498944976485,True,False,False
xyz:COST,stock,139,2026-05-01,141470.97,37369.47900000001,141979.72999999998,29,844743.0126100001,9.729384868945331,52544.801769,12138,2299,92,2026-05-01,20,4,enabled,True,25000000.0,901.66,11.629384868945332,True,False,False
xyz:DKNG,stock,139,2026-05-01,137678.745,23723.009000000002,186440.235,28,284264.77526,12.523694915975796,134230.08174,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,20.691,14.423694915975796,True,False,False
xyz:BX,stock,139,2026-05-01,125169.76999999999,16810.072,199967.575,30,487154.5551,11.212991604065039,417077.7302,12138,2299,92,2026-05-01,10,2,enabled,True,25000000.0,115.43,13.112991604065039,True,False,False
xyz:EWZ,etf,139,2026-05-01,124070.34,33365.215000000004,140981.245,27,586843.90897,19.36251384501741,446272.5194099999,12138,2299,92,2026-05-01,20,2,enabled,True,25000000.0,37.008,21.26251384501741,True,False,False
xyz:ZM,stock,136,2026-05-04,92569.925,41843.62700000001,150687.825,29,511609.81627999997,31.909722955981447,96449.55322,11955,2289,91,2026-05-03,10,3,enabled,True,25000000.0,90.824,33.80972295598145,True,False,False
xyz:EBAY,stock,135,2026-05-05,78309.435,10334.204000000002,92837.435,30,320162.2668,23.351832360539795,81445.1553,11776,2261,90,2026-05-05,10,2,enabled,True,25000000.0,108.61,25.251832360539794,True,False,False
xyz:SNXX,stock,14,2026-09-11,54425.92,0.0,54425.92,12,53347.35350000001,,,1398,271,11,2026-09-10,10,1,enabled,True,25000000.0,17.2985,103.85648507336765,True,False,False
xyz:BIRD,stock,139,2026-05-01,41570.16,10514.912,86862.51000000001,30,81230.81787,101.95648507336765,108504.89927,12138,2299,92,2026-05-01,10,1,enabled,True,25000000.0,2.3396,103.85648507336765,True,False,False
xyz:XBI,etf,34,2026-08-22,26424.739999999998,7749.519,21950.99,30,84755.44260000001,25.86270529618026,86559.3621,3273,621,24,2026-08-22,10,2,enabled,True,25000000.0,152.88,27.762705296180258,True,False,False
xyz:CVX,stock,8,2026-09-17,19727.485,4326.945000000001,19727.485,8,7996.755400000001,,,790,156,6,2026-09-17,10,2,enabled,True,25000000.0,207.325,103.85648507336765,True,False,False
xyz:HO,stock,7,2026-09-18,0.0,0.0,0.0,7,0.0,,,657,130,5,2026-09-18,10,0,,True,,,103.85648507336765,False,False,False
xyz:YMTC,stock,23,2026-09-02,0.0,0.0,0.0,23,0.0,,,2174,435,17,2026-09-02,5,1,,True,25000000.0,,103.85648507336765,False,False,False
